LookupString,Latitude,Longitude,GeoName
"Agua Caliente, Mexico",21.5541092,-104.83929,"Agua Caliente, Tepic, Municipio de Tepic, Nayarit, 63500, México"
"Izalco, El Salvador",13.7464194,-89.675075,"Izalco, Municipio de Izalco, Departamento de Sonsonate, República de El Salvador"
"Oaxaca, Huarumbo, Mexico",15.992222,-97.089167,"El Huarumbo, San Pedro Mixtepec, Oaxaca, México"
"Coatlinchan, Mexico",19.4679925,-98.878042,"Coatlinchan, Tolimpa, Lomas de Cristo, Texcoco, Estado de México, 56236, México"
"Alta Verapaz, Pansamala, Guatemala",0,0,
"Huehuetenango, Quen Santo, Casa Del Sol, Guatemala",0,0,
"Quiché, Zacualpa, Guatemala",15.0890724,-90.88310138387175,"Zacualpa, Quiché, Guatemala"
"Cara Lucia, El Salvador",0,0,
"San Francisco, Altamira, Mexico",19.56714,-96.9499088,"San francisco, Altamira, Colonia Insurgentes, Fernando Gutiérrez Barrios, Xalapa, Veracruz de Ignacio de la Llave, 91018, México"
"Oaxaca, Quiengola Region, Mexico",0,0,
"Quiché, Nebaj, Guatemala",15.3645947,-91.0967403,"Ruta Quiche - Nebaj, Cunén, Quiché, 14013, Guatemala"
"Bocay River, Nicaragua",13.5425209,-85.5401699,"Bocay, San José de Bocay (Municipio), Jinotega, 66600, Nicaragua"
"Aguascalientes, San Antonio, Guatemala",22.075837,-102.2710785,"Guatemala, San Francisco de Los Romo, San Francisco de los Romo, Aguascalientes, 20305, México"
"Veracruz, Alamo Region, Mexico",0,0,
"Capotitlan, Mexico",0,0,
"Sonora, Sahuaripa, Mexico",29.0549963,-109.2347554,"Sahuaripa, Sonora, México"
"Cuanalan, Mexico",19.6146996,-98.9165895,"Cuanalán, Acolman, Estado de México, 55886, México"
"Quetzaltenango, Quetzaltenango, Guatemala",14.8464612,-91.5194208,"Quetzaltenango, 09001, Guatemala"
"Oaxaca, San Bartolo Yautepec, Mexico",16.428333,-95.973611,"San Bartolo Yautepec, Oaxaca, México"
"Buenos Aires, Terraba, Costa Rica",0,0,
"Ranch Ratontita, Mexico",0,0,
